Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Dwellings, Place of Enumeration"
"SA2 by HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HCFMD Family Household Composition (Dwelling)","One family household: Couple family with no children","One family household: Couple family with children","One family household: One parent family","One family household: Other family","Two family household: Couple family with no children","Two family household: Couple family with children","Two family household: One parent family","Two family household: Other family","Three or more family household: Couple family with no children","Three or more family household: Couple family with children","Three or more family household: One parent family","Three or more family household: Other family","Lone person household","Group household","Visitors only household","Other non-classifiable household","Not applicable","Total",
"Melbourne",3551,840,395,879,27,8,0,0,0,0,0,0,5965,4615,1386,1496,3262,22428,
"North Melbourne",2009,1028,505,210,7,13,7,4,0,0,0,0,2705,1631,285,887,1062,10356,
"Parkville",511,298,90,43,5,0,0,0,0,0,0,0,619,424,57,136,294,2477,
"South Yarra - West",847,326,120,50,5,4,0,0,0,0,0,0,1140,237,75,300,591,3697,
"Southbank",2619,681,303,286,8,9,9,0,0,0,0,0,2860,1483,485,990,1798,11525,
"West Melbourne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,
"Albert Park",1969,1457,371,95,15,10,8,0,0,0,0,0,2133,432,162,449,1172,8260,
"Elwood",1752,1250,436,98,7,3,3,0,0,0,0,0,2708,644,89,628,1009,8636,
"Port Melbourne",2124,1447,506,89,15,18,11,0,0,0,0,0,2499,363,109,622,1013,8817,
"Port Melbourne Industrial",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,14,
"South Melbourne",1534,783,350,104,4,3,3,3,0,0,0,0,1982,414,148,506,896,6725,
"St Kilda",3300,1230,530,154,15,6,0,0,0,0,0,0,5600,1275,329,1731,2142,16312,
"St Kilda East",1803,1148,410,129,3,3,3,0,0,0,0,0,2885,962,91,636,1025,9100,
"Armadale",1005,826,240,71,9,0,4,0,0,0,0,0,1347,313,61,200,527,4606,
"Prahran - Windsor",2491,1104,417,177,13,9,7,5,0,0,0,0,3536,1228,130,874,1410,11398,
"South Yarra - East",2881,935,476,201,12,11,4,0,0,0,0,0,4183,1324,211,958,1910,13108,
"Toorak",1651,1220,359,68,12,8,7,0,0,0,0,0,1817,347,135,338,1196,7160,
"Abbotsford",1141,477,153,77,5,8,5,0,0,0,0,0,1161,530,87,304,434,4388,
"Carlton North - Princes Hill",924,646,218,51,5,8,3,0,0,0,0,0,939,666,46,168,409,4090,
"Collingwood",1064,369,336,78,3,4,0,0,0,0,0,0,1330,547,83,446,401,4665,
"Fitzroy",1141,540,352,67,3,6,5,0,0,0,0,0,1418,587,93,502,500,5226,
"Fitzroy North",1360,991,315,72,5,7,0,0,0,0,0,0,1645,684,65,345,572,6064,
"Richmond (Vic.)",3722,1998,958,267,20,29,12,0,0,0,0,0,4369,1795,184,1015,1504,15879,
"Yarra - North",926,907,229,43,4,9,0,0,0,0,0,0,951,342,32,253,363,4063,
"Ashburton (Vic.)",516,1185,253,26,13,11,9,0,0,0,0,0,505,73,25,71,241,2927,
"Balwyn",1254,2079,626,98,25,50,14,0,0,0,0,0,1377,178,58,175,709,6652,
"Balwyn North",1327,3076,699,82,26,86,21,0,0,3,0,0,1139,130,65,159,701,7521,
"Camberwell",1769,2893,613,107,18,33,20,0,0,0,0,0,1611,292,71,201,778,8407,
"Glen Iris - East",1312,2525,426,53,19,29,8,0,0,0,0,0,1079,166,39,137,518,6315,
"Hawthorn",2387,2106,456,219,13,20,6,0,0,0,0,0,3289,972,152,556,1125,11295,
"Hawthorn East",1569,1606,388,115,8,17,3,0,0,0,0,0,1794,555,75,300,661,7097,
"Kew",2108,2963,772,157,27,37,14,0,0,0,0,0,2080,549,117,411,1138,10373,
"Kew East",496,937,222,20,10,8,0,0,0,0,0,0,453,92,14,95,211,2554,
"Surrey Hills (West) - Canterbury",1349,2347,416,67,13,33,10,0,0,0,0,0,1149,131,49,175,542,6283,
"Bulleen",1110,1445,368,49,27,48,16,0,0,0,0,0,828,102,27,141,357,4511,
"Doncaster",2169,2419,780,126,47,97,36,4,0,0,0,0,1837,303,91,210,1069,9194,
"Templestowe",1502,2319,457,54,41,102,30,4,0,0,0,0,853,71,34,143,484,6108,
"Templestowe Lower",1272,1851,478,53,15,45,26,0,0,0,0,0,906,86,35,131,418,5310,
"Doncaster East (North)",1195,2239,418,49,38,90,23,4,0,0,0,0,615,50,28,145,353,5271,
"Doncaster East (South)",1261,1781,580,72,23,68,14,0,0,0,0,0,1150,143,52,150,554,5846,
"Blackburn",1784,2847,724,98,28,64,15,0,0,0,0,0,1758,301,55,193,782,8634,
"Blackburn South",835,1427,381,44,11,34,21,0,0,0,0,0,929,122,26,111,298,4238,
"Box Hill",1594,2030,727,160,42,55,16,0,0,0,0,0,2124,707,139,327,808,8726,
"Box Hill North",1401,2282,685,102,24,73,12,0,0,0,0,0,1402,318,57,153,703,7211,
"Burwood",869,1042,401,97,12,27,14,0,0,0,0,0,1239,583,59,154,475,4978,
"Burwood East",925,1270,365,46,22,43,13,6,5,0,0,0,713,241,26,71,329,4062,
"Surrey Hills (East) - Mont Albert",826,1423,287,35,3,20,7,0,0,0,0,0,827,132,35,71,385,4053,
"Beaumaris",1290,1976,345,38,17,19,8,0,0,0,0,0,976,50,27,177,457,5384,
"Brighton (Vic.)",2288,2893,688,73,8,24,12,0,0,0,0,0,2112,198,108,378,1380,10158,
"Brighton East",1290,2303,503,42,15,18,9,0,0,3,0,0,1181,98,47,184,577,6273,
"Cheltenham - Highett (West)",906,1479,429,35,17,8,3,0,0,0,0,0,1082,121,23,148,387,4643,
"Hampton",1403,2491,623,51,11,14,13,0,0,0,0,0,1617,158,58,284,737,7450,
"Sandringham - Black Rock",1646,2196,463,47,9,10,6,0,0,0,0,0,1597,118,60,254,771,7183,
"Bentleigh - McKinnon",1623,3196,765,93,36,45,20,0,0,0,0,0,1939,266,57,263,787,9076,
"Carnegie",1791,1942,469,119,17,30,12,0,0,0,0,0,2248,625,46,316,664,8282,
"Caulfield - North",2008,2320,452,80,22,19,13,3,0,0,0,0,2038,630,85,385,832,8897,
"Caulfield - South",1634,2228,491,79,9,29,9,0,0,0,0,0,1558,305,56,237,649,7280,
"Elsternwick",1130,1307,297,59,9,8,3,0,0,0,0,0,1393,268,42,195,462,5180,
"Hughesdale",623,948,249,68,14,23,16,0,0,0,0,0,653,185,12,89,260,3123,
"Murrumbeena",877,1183,236,51,3,18,0,0,0,0,0,0,1020,206,22,116,378,4117,
"Ormond - Glen Huntly",1181,1618,392,82,20,31,5,0,0,0,0,0,1511,392,47,191,438,5912,
"Bentleigh East (North)",1089,2180,590,71,14,29,14,0,0,0,0,0,987,125,33,173,476,5789,
