Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by STRD Dwelling Structure"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"STRD Dwelling Structure","Separate house","Semi-detached, row or terrace house, townhouse etc. with one storey","Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Flat or apartment in a one or two storey block","Flat or apartment in a three storey block","Flat or apartment in a four to eight storey block","Flat or apartment in a nine or more storey block","Flat or apartment attached to a house","Caravan","Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.","Not stated","Not applicable","Total",
"SA2 (EN)",
"Morwell",5929,429,67,577,0,0,0,6,4,30,8,6,5,20,7078,
"Yallourn North - Glengarry",1976,9,5,7,0,0,0,0,0,5,0,0,0,0,2001,
"Traralgon - East",4427,170,19,720,0,0,0,0,0,0,0,0,16,17,5370,
"Traralgon - West",6454,371,47,525,0,0,0,0,13,57,11,0,17,13,7509,
"Alps - West",30,0,0,0,0,0,0,0,0,0,0,0,4,0,34,
"Longford - Loch Sport",4089,159,0,6,0,0,0,5,66,14,3,6,10,0,4363,
"Maffra",6566,11,0,244,0,0,0,8,31,17,3,20,8,15,6920,
"Rosedale",1721,24,0,0,0,0,0,0,18,8,0,5,3,4,1781,
"Sale",5967,437,148,460,44,0,0,0,25,25,7,3,16,23,7158,
"Yarram",2982,127,5,67,0,0,0,6,34,32,4,15,8,12,3286,
"Brunswick East",1581,790,1096,427,153,2170,846,0,0,0,0,48,9,11,7129,
"Brunswick West",2662,622,839,2265,342,759,103,5,0,0,0,39,8,8,7665,
"Pascoe Vale South",3255,139,328,262,72,64,0,3,0,0,0,4,5,0,4131,
"Brunswick - North",2538,1048,736,676,422,913,85,6,0,0,4,97,10,16,6543,
"Brunswick - South",1810,1019,1013,555,688,1671,224,6,0,0,43,72,3,12,7133,
"Coburg - East",2917,628,1171,193,210,571,6,6,0,0,33,13,11,6,5766,
"Coburg - West",4322,469,570,145,43,40,106,8,0,0,0,9,5,3,5719,
"Alphington - Fairfield",2065,374,539,928,131,156,0,4,0,0,0,15,0,8,4219,
"Thornbury",4466,832,1339,1950,213,176,0,3,0,0,0,61,3,11,9067,
"Northcote - East",3481,742,809,638,406,606,115,7,0,0,12,31,10,6,6861,
"Northcote - West",1999,908,740,431,169,527,0,7,0,0,0,64,6,3,4852,
"Ascot Vale",3010,734,836,652,1547,213,0,8,0,0,0,27,7,8,7036,
"Flemington",921,674,263,377,798,946,1149,4,0,0,0,35,0,14,5180,
"Moonee Ponds",3333,585,679,808,715,1703,219,0,0,0,0,33,9,7,8090,
"Essendon (West) - Aberfeldie",3557,336,854,1328,221,561,0,4,0,0,4,15,6,6,6892,
"Essendon - East",2251,316,1000,1029,440,1160,49,0,0,0,0,18,9,9,6275,
"Carlton",116,541,914,262,916,2094,5678,0,0,0,11,55,22,68,10667,
"Docklands",59,0,149,5,7,1558,9012,0,0,6,0,0,21,12,10832,
"East Melbourne",109,186,509,322,877,465,964,3,0,0,3,3,17,25,3480,
"Flemington Racecourse",0,0,0,0,0,35,0,0,0,0,0,0,0,0,38,
"Kensington (Vic.)",906,704,2147,172,428,873,302,0,0,0,0,6,5,4,5552,
"Parkville",53,177,768,203,311,623,669,0,0,0,3,4,5,33,2858,
