Australian Bureau of Statistics

"2021 Census - selected family characteristics"
"SA2 (EN) by FNOF Family Number"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"FNOF Family Number","Primary family","Second family","Third family","Not applicable","Total",
"Hallam",2746,122,5,1174,4046,
"Narre Warren North",2080,143,8,435,2659,
"Endeavour Hills - North",3184,135,8,1045,4370,
"Endeavour Hills - South",3633,149,13,1112,4908,
"Narre Warren - North East",3571,139,9,1134,4846,
"Narre Warren - South West",3779,159,5,1743,5682,
"Berwick - South East",4641,159,6,1022,5823,
"Berwick - South West",2966,105,6,792,3867,
"Cranbourne",5186,241,10,2954,8399,
"Cranbourne South",4713,194,11,1340,6259,
"Cranbourne West",5500,243,19,1730,7495,
"Lynbrook - Lyndhurst",4432,291,18,935,5679,
"Pearcedale - Tooradin",2162,77,4,807,3053,
"Narre Warren South - East",3353,194,14,608,4173,
"Narre Warren South - West",4126,227,11,1042,5402,
"Clyde North - North",2728,109,0,567,3407,
"Clyde North - South",3833,169,11,809,4820,
"Cranbourne East - North",5829,290,14,1675,7812,
"Cranbourne East - South",3098,144,13,1029,4283,
"Cranbourne North - East",3167,135,11,652,3968,
"Cranbourne North - West",2974,140,9,1174,4299,
"Hampton Park - East",3082,176,11,1080,4351,
"Hampton Park - West",3238,159,10,1400,4811,
"Clarinda - Oakleigh South",3134,114,6,1197,4451,
"Clayton South",3341,150,3,1955,5454,
"Dandenong North",5640,221,14,2655,8539,
"Dingley Village",2957,59,0,1005,4026,
"Noble Park North",1972,75,4,859,2909,
"Springvale",5129,358,27,3176,8688,
"Springvale South",3008,242,19,1318,4584,
"Noble Park - East",2976,111,3,2355,5440,
"Noble Park - West",4599,284,26,2653,7553,
"Dandenong - North",4632,145,6,3889,8668,
"Dandenong - South",1924,199,21,1319,3462,
"Keysborough - North",3855,265,18,1492,5619,
"Keysborough - South",3911,232,10,769,4918,
"Ashwood - Chadstone",5032,120,0,2857,8015,
"Glen Waverley - East",5818,246,0,2036,8100,
"Glen Waverley - West",5484,198,3,2319,8010,
"Mount Waverley - North",4421,126,0,1663,6207,
"Mount Waverley - South",5193,132,4,2086,7419,
"Mulgrave",5409,177,3,1901,7494,
"Oakleigh - Huntingdale",5989,138,5,3210,9332,
"Wheelers Hill",5715,213,3,2003,7940,
"Clayton (North) - Notting Hill",1390,26,0,2127,3547,
"Clayton - Central",2490,94,9,2286,4881,
"Ardeer - Albion",1720,52,0,1607,3383,
"Cairnlea",2449,201,15,659,3323,
"Delahey",2074,114,7,872,3073,
"Keilor Downs",3582,162,6,1349,5090,
"Kings Park (Vic.)",3550,183,13,1440,5192,
"St Albans - North",4858,266,6,3169,8292,
"St Albans - South",3987,258,18,2371,6635,
"Sunshine",2248,78,3,1602,3924,
"Sunshine North",2794,172,8,1602,4571,
"Sunshine West",4599,208,13,2316,7136,
"Sydenham",2975,130,3,1226,4337,
"Taylors Lakes",4762,171,10,1129,6067,
"Deer Park",4444,208,10,2126,6787,
"Derrimut",2052,126,10,502,2688,
